Requirement,Prediction,Type
less must use english localization uk electronic logbook feature,NFR,O
texas runtime library shall available computer communicating c2c project,NFR,O
system shall easy migrate backed via another usb drive,NFR,O
constituent sale history data construction junction quickbooks po system must migrated salesforce,NFR,O
ensure extensibility software system open architecture chosen,NFR,O
maintains configuration management system hardware software,NFR,O
training requirement shall determined developer system x module embedded,NFR,O
scheduler shall execute task rate group installed current mode,NFR,O
flight n shall designed capable complying performance requirement specified herein nonoperating atmosphere 8 18 asia,NFR,O
operational uk mixed allows test message sent uk fishery administration er system,NFR,O
system provides dashboard performance monitoring management tool,NFR,O
claus system shall able access remotely sensed environmental observation data collector,NFR,O
eight humidistats shall placed room throughout home,NFR,O
aspera3 telemetry data shall stored local ssri archive,NFR,O
computer must equipped web browser internet explorer,NFR,O
user interface software shall compatible browser internet explorer mozilla netscape navigator user access system,NFR,O
important requirement stability system highlevel user application level consequence availability basic network terminal functionality,NFR,O
ftse software work operating system together shall utilize 3 megabyte room,NFR,O
four main data operation required processed less,NFR,O
accepts content numerous file type format tiff image storage xml text audio streaming video pdf,NFR,O
software structure firmware suitable adding ui interpreter interpret visualize ui code generated ui editor,NFR,O
faulttolerant system service software shall use work version 54 operating system,NFR,O
web browser based interface must provided inventory management functionality,NFR,O
however access database may via training application access dbms rather production mission application,NFR,O
although first prototype complies specified functionality decided reimplement scratch carefully design application interface process communication,NFR,O
general device independence achieved functionality operable via keyboard,NFR,O
elm monitor information standard including metadata standard data interface standard,NFR,O
system encrypts data direct connection web client server priority 1,NFR,O
x shall deliver interrelated component shown figure 321,NFR,O
prototype n shall fabricated using commercial grade component,NFR,O
finally concluded prototype met functional requirement static,NFR,O
authoring tool provides project project repository containing font definition color palette bitmap image string,NFR,O
system must able support reporting definition described appendix,NFR,O
store system shall communicate crm system provide support,NFR,O
communication module also needed obtain system configuration vector unit,NFR,O
flight hardware shall fabricated using radiation hardened ardor radiation tolerant component,NFR,O
content selected file shall written new file new file shall become currently selected file,NFR,O
connector p1 pin 1 32 row shall connected 5v,NFR,O
shall exactly one file describing interpretation function symbol associated application,NFR,O
minimum broadband connection recommended fully utilize web conferencing feature,NFR,O
scope system require interacting interface customized,NFR,O
compression output file requires pdf version 15,NFR,O
controller value sent controller change dh environment,NFR,O
multiple language supported using java unicode standard,NFR,O
npc sm shall proceed broadcast modified active subscription process upon successful modification active subscription version,NFR,O
ftse software shall move buffer cpctc venus,NFR,O
system implemented using service oriented architecture modular design,NFR,O
except high level feature abovementioned adaptivity specification primarily rely multimodality related feature,NFR,O
n syndrome shall located second longford input information block buffer cell,NFR,O
web conferencing feature performance depends availability bandwidth,NFR,O
firmware allow extension functionality,NFR,O
system shall follow waterfall software process model,NFR,O
memory requirement,NFR,O
scheduler shall provide mechanism task optionally define user written softwareexceptionhandling routine run context task,NFR,O
contact u online donation form website page integrate salesforce allow donor upload image,NFR,O
already stated parted live run every system doesnt need specific software user side,NFR,O
make file automated script support build download flash programming process shall delivered software nasa,NFR,O
described functionality rank donor term ease working implemented part crm project,NFR,O
convert data described 71110,NFR,O
flight n shall designed electromagnetically compatible redstone power pc 604r,NFR,O
communication service shall provide api pipe communication,NFR,O
test point shall made available p2 connector examining operational status n,NFR,O
scalable mean performance degrade addition node job cluster,NFR,O
fatigue shall able communicate sun polaris linux window 2000,NFR,O
prototype n shall reside single commercial grade 6u vme board,NFR,O
tested various version microsoft window geulincx distribution mac o x,NFR,O
functional requirement feature exactly one system feature 1,NFR,O
migration framework shall provide tool build report war file,NFR,O
multimedia capability operating system selection virtually limited m window based platform,NFR,O
using test administering feature applicable administrator xl pdf must installed native machine view downloadable report,NFR,O
multimahjongclient play sound effect associated certain game action,NFR,O
system must ability allow metadata update,NFR,O
editor configured fatigue shall inform user editor must configured starting editor,NFR,O
conduction cooled board mechanical core shall designed accordance ieee 11012,NFR,O
due web based nature system host machine must also microsoft ii installed,NFR,O
victualed software seamless integration local operating hardware system,NFR,O
webbased display defined aspera3 team shall provided available aspera3 data opposed current used science analysis,NFR,O
system developed open standard,NFR,O
ability display print email save report standard format including csv excel well customizable format,NFR,O
n shall support least two physical processor per fcr,NFR,O
workflow system shall configurable management strategy migration arc war,NFR,O
claus system shall accept environmental data maintenance construction vehicle,NFR,O
creates maintains schema table definition required support data management function,NFR,O
recommended current system performs optimally suggested browser,NFR,O
network based ethernet standard procedure,NFR,O
product must stored way allows client easy access,NFR,O
see appendix example tiff header metadata requirement,NFR,O
new file shall created currently open application newly entered file name,NFR,O
claus system shall able communicate rbi database native interface,NFR,O
shall logical address system ipv4 format,NFR,O
general device independence achieved functionality operable via keyboard,NFR,O
useful operating life shall determined analysis presented critical design review,NFR,O
system administrator create report template available frontline staff run modified staff person particular need,NFR,O
physical transmission medium could medium direct phone connection eg isdn analog internet gsm radio link,NFR,O
authoring tool allow easy modification behavior user interface,NFR,O
application programming interface shall documented ftse api document,NFR,O
software architecture firmware allow extension additional functionality,NFR,O
access transmit queue shall controlled within communication service primitive,NFR,O
migration workflow shall able call external tool service eg database query shell command web service,NFR,O
2 category transmission must generated automatically less generated transmitted control master vessel,NFR,O
system developed centralized deployment maintenance,NFR,O
obvious pea zip independent operating system computer system run,NFR,O
selected analog value shall stored fifobuffers,NFR,O
power decoupling mechanism shall designed n,NFR,O
claus system shall able access insitu environmental observation data collector,NFR,O
claus program shall provide setup support,NFR,O
able relay data received one multimahjongclient multimahjongclients request,NFR,O
single thermostat shall placed enclosed space eg room house air temperature controlled,NFR,O
claus system baseline data type shall defined trip es 1204 standard data collection,NFR,O
npc sm shall responsible access control soa npc sm interface npc sm local sm interface,NFR,O
mash bot provide interface authenticating user account external service account,NFR,O
shall able installed air transportable rack chassis 8 pitch spacing card slot,NFR,O
access point controllable different modality,NFR,O
system web base system interact user web component interface,NFR,O
must also able handle context specific dialog,NFR,O
n shall configured automatically enter sync microcode following power,NFR,O
x shall internally interface transparent operator existing data element dbi dac cot dbms product,NFR,O
ftp shall consist five n one fcc one neft ftse software,NFR,O
claus system shall accept data claus standard interface,NFR,O
ftse object module linked application four fcs shall identical,NFR,O
importing file consists copying file application directory,NFR,O
tool shall provide enhanced usability providing easy adapt shell script wrapper major command,NFR,O
staff group account independent workstation client install tied specific location,NFR,O
system support secure protocol including sftp ssl ssh,NFR,O
system designed satisfactory performance even police station connected low bandwidth,NFR,O
n shall support class 1 class 2 bandwidth least 1 byte,NFR,O
also might communicate external system future customer relation management system hr system,NFR,O
c2c server shall execute microsoft window nt environment,NFR,O
aspera3 idf data idf data shall provided nasa pd,NFR,O
npc sm shall apply panel filter npanxxxs creation bulk data download file previously n374,NFR,O
communication service shall route message proper virtual group socket,NFR,O
example given transformation language program tlp file xtlpparsed generated parser executed,NFR,O
use recommended browser may cause performance issue addressed software vendor,NFR,O
arc war migration able run multiple machine easy deploy,NFR,O
physical transport medium possibly redundant certain degree depending condition specific plant,NFR,O
claus system shall acquire process disseminate atmospheric data,NFR,O
gui shall run window 2000 sun polaris 8 linux operating system without modification java code,NFR,O
following field mandatory 21 name 22 type,NFR,O
application installed microsoft unix platform,NFR,O
presence absence neft icp shall impact n firmware ie n firmware different,NFR,O
ability access database odbc source,NFR,O
ssri shall provide idf data processing algorithm,NFR,O
fatigue shall provide copying text text display area system buffer available pasting application editor,NFR,O
metadata check data conversion may necessary allow initial material reviewed,NFR,O
need added burning suite compatible operating system,NFR,O
shall possible repackage war file filtering field war specification,NFR,O
compression output file requires pdf version 15,NFR,O
system able run test credit card transaction,NFR,O
system support ssl encrypted connection,NFR,O
search interface web accessible must section 508 compliant,NFR,O
format us smtp protocol,NFR,O
libra scheduler subcomponent sge,NFR,O
support service shall provide api call provide current command data,NFR,O
binary value must stored plant controller retransmission demand,NFR,O
ftse software shall configure fcp act redstone bit master exception icp neft master,NFR,O
successfully completing bit software shall continue initialization work ftse software,NFR,O
x software shall delivered accordance coe guideline,NFR,O
load module four fcs shall identical,NFR,O
system hardware shall fixed patched via internet connection,NFR,O
system must able support finegrained report requirement described appendix b,NFR,O
claus system shall able operate redundant hardware,NFR,O
functionality provided inventory management system critical normal operation construction junction business,NFR,O
develops prototype software response migration goal,NFR,O
ssri shall provide software support ap af system,NFR,O
develops implement plan system evolution,NFR,O
separable cluster management system,NFR,O
claus system shall accept environmental data railway system situ es along track,NFR,O
claus system shall able communicate environmental sensor station using trip es 1204 standard data collection,NFR,O
shall builtin support n voted reset including special packet type executing primitive,NFR,O
ability print file server ftp email printer part application,NFR,O
multimahjongserver able save preference file read file startup,NFR,O
npc sm shall able communicate creation modification deletion spandex data service provider son local sm,NFR,O
use asp net c language system designed net framework 35 using visual studio family,NFR,O
aspera3 data shall provided nasa pd later 6 month acquisition,NFR,O
data definition report type required transmitted less uk fishing vessel found annex specification,NFR,O
c2c shall able operate normal mode,NFR,O
claus system shall able provide sensor equipment data response request,NFR,O
presentation information scope specification,NFR,O
coding done standard c,NFR,O
communication standard ssh client ftp client vpn client used connection two computing endpoint,NFR,O
shall web server apa system,NFR,O
construction junction acquired crm fusion product including demand tool people import dupe blocker assist effort,NFR,O
network shall operate tcpip standard procedure,NFR,O
product shall based web run web server,NFR,O
claus system shall accept atmospheric condition data derived atmospheric image task force review,NFR,O
texas shall used transmit todd message set,NFR,O
may achieved using simple messaging infrastructure,NFR,O
data must stored plant controller transmission demand,NFR,O
file shall written ml file extension lib,NFR,O
pea zip installation use requirement almost zero,NFR,O
fatigue shall provide manipulation display set,NFR,O
appliance manager shall able manage one hundred 115 volt 10 amp power switch,NFR,O
system web based system use web developing language,NFR,O
ftse software shall written c programming language,NFR,O
describe newly defined specification simulation environment provide abstract high level scripting language thus providing interpreter,NFR,O
condition monitoring important offshore wind farm standard function larger wind turbine,NFR,O
freight community shall able use claus system obtain environmental condition,NFR,O
editor also allows downloading generated code embedded veronica system interpreted firmware,NFR,O
performance reason vm closely matched firmware,NFR,O
possible configuration change shown ref ref504962431 figure 32,NFR,O
plugin api well documented specification provided plugin developer,NFR,O
scheduler shall provide api call install task rate group api call invoked system initialization,NFR,O
however parted depends library tool function,NFR,O
must way existing plant interface new communication system,NFR,O
following adaptivity specification limited single user session,NFR,O
note configuring network element automatically enter sync power opportunity perform bit n,NFR,O
npc sm shall support functional component board automatic self checking logic immediate fault locating,NFR,O
system integrate vertical response future possible replacement exact target blast email notification,NFR,O
claus system shall accept environmental data service patrol vehicle,NFR,O
claus system shall disseminate data using standard internet protocol,NFR,O
claus system shall able use multiple algorithm quality control process,NFR,O
less must permit master vessel generate formatted data transmission uk fishery administration er system,NFR,O
c2c shall able operate test mode,NFR,O
integration quickbooks po salesforce must use middleware,NFR,O
system management function shall available operator control system low time critical nature,NFR,O
system must written using industry best practice must built using construction junction approved product technology,NFR,O
digital home system shall incorporate backup recovery mechanism,NFR,O
ftse communication service provide message passing capability layered top packet based network element communication hardware,NFR,O
data collector shall designed support storage todd data element message set information,NFR,O
system shall extremely portable via usb drive,NFR,O
environmental sensor controller device shall within 1000 foot master control device order communication system,NFR,O
npc sm shall sync database primary sm update sent backup disaster recovery machine downtime,NFR,PE
whenever power reset occurs system initialization shall perform following function,NFR,PE
redundancy management shall wait icp signal completed initialization suspending application memory realignment,NFR,PE
redundancy management shall alignment permitted serially incorporate two new channel powered simultaneously,NFR,PE
scheduler shall keep minor frame count 0 49,NFR,PE
fcp watchdog timer shall remain active memory realignment,NFR,PE
n shall directly enter tnr microcode voted reset n watchdog timer reset,NFR,PE
system shall support fahrenheit celsius temperature value,NFR,PE
npc sm shall support permissive dialing period dialing pa allowed npa split,NFR,PE
continuous bit shall diagnose faulty fcr within 1 second detecting failure,NFR,PE
presence absence neft icp shall impact ftse software ie ftse icp load different,NFR,PE
sep shall measure realtime event accuracy 50 part per million,NFR,PE
claus system shall able collect data source within 5 minute becoming available,NFR,PE
system must handle least 100 concurrent user operation,NFR,PE
npc sm shall complete processing sending transaction time system failure npc sm resume processing,NFR,PE
constituent data quickbooks po salesforce must synchronized,NFR,PE
fatigue shall display set 10000 node five second less,NFR,PE
ram scrub software shall use 1 fcp cpu duty cycle,NFR,PE
sep shall able increment least 1 day without rolling,NFR,PE
utility timer shall available via ftse api call,NFR,PE
pipe provide fast data throughput virtual group within virtual group minimal data latency necessary,NFR,PE
timestamps shall also congruent across active processor case broadcast,NFR,PE
fair shall execute bit operational phase,NFR,PE
co must respond within 1 minute single multiplayer mode,NFR,PE
ftse shall notify application icp via api call 2 minor frame prior alignment,NFR,PE
fcp shall signal start minor frame icp mean venus irq5 interrupt,NFR,PE
degradation shall caused performance specified subsection 323131 3231311,NFR,PE
communication service shall deliver message order member virtual group,NFR,PE
claus system shall maintain dynamic library data least seven day,NFR,PE
npc sm shall default short initial concurrence window tunable parameter 1 business hour,NFR,PE
timestamp counter shall initialized zero sync,NFR,PE
fatigue shall begin first command execute command sequentially either error occurs command script file executed,NFR,PE
packet size assumed 60 byte,NFR,PE
npc sm shall default subscription disconnect retry interval tunable parameter 2 minute,NFR,PE
shall stay tnr mode indefinitely successful tnr exchange observed,NFR,PE
majority unanimity fcp member observed packet output buffer timeout shall initiated,NFR,PE
presence test shall also ascertain processor executing 50 hz 10 hz 1 hz frame,NFR,PE
note ftse fail fcr signal received within time,NFR,PE
system shall able add product shopping cart less 2ms,NFR,PE
flight n storage life shall 5 year better,NFR,PE
continuous bit executes fcp time initialization complete,NFR,PE
scheduler shall execute highest priority ftse application task system,NFR,PE
yellow speed tbd tbd mph red speed tbd mph,NFR,PE
maximum response time submission job 1 minute,NFR,PE
claus system shall able publish new data within twenty minute data receipt,NFR,PE
system shall able retrieve 200 product per second,NFR,PE
updating binary online value shall selectable interval 1 sec,NFR,PE
complexity tree search algorithm shall exceed on2 n node,NFR,PE
npc sm shall support duplexing major hardware component continuous operation event system hardware failure,NFR,PE
following power applied five chassis ftp system shall become operational 15 minute,NFR,PE
n shall operate worst case card edge thermal interface temperature 65 c greater 10 hour,NFR,PE
apaffr09 apa ground data system shall builtin error handling,NFR,PE
ftse shall wait icp signal completed initialization suspending application memory realignment,NFR,PE
ftp shall take 1 second per megabyte data realigned,NFR,PE
logging migration may turned onoff time,NFR,PE
typical sampling rate could 25 hz,NFR,PE
course lead loss data,NFR,PE
system shall able search specified product less 1 second,NFR,PE
system shall able handle 1000 customer logged concurrently time,NFR,PE
updating value shall selectable interval 1 sec,NFR,PE
analog value source shall available realtime online instant data well time averaged value,NFR,PE
met shall initialized zero first 50 hz frame,NFR,PE
shall support normal synchronization following power reset,NFR,PE
counter shall increase monotonically except tnr,NFR,PE
npc sm shall reject rescheduling block create immediate execution prior effective date spandex previously n773,NFR,PE
transfer data buffer shall carried without synchronism realtime,NFR,PE
system shall able restore 1000 record per second,NFR,PE
ftp shall detect babbling n icp within 20 millisecond receipt first erroneous packet,NFR,PE
reintegration fcp shall completed 15 minute,NFR,PE
redundancy management shall alignment permitted incorporate new channel within 15 minute power applied channel,NFR,PE
waveform amplitude shock pulse shall sawtooth shock pulse 20g peak 11 millisecond nominal duration,NFR,PE
complexity text search algorithm shall exceed on2 n node,NFR,PE
less data must transmitted required time set section 251,NFR,PE
behavior synchronous task executed scheduler must deterministic,NFR,PE
scheduler shall complete change one vehicle mode next within 102 second,NFR,PE
transaction rate 25 tn downloads per second shall supported npc sm local sm interface,NFR,PE
redundancy management shall notify application alignment reintegration processor take place 1 second,NFR,PE
permanent n failure fair shall mask failed n,NFR,PE
fair shall take 2 msec per minor frame nominal nofault condition,NFR,PE
switch modality must affect system operation consequently need reinitiate dialog status,NFR,PE
npc sm shall default prelogin advisory warning message following,NFR,PE
system employ demand asynchronous loading faster execution page,NFR,PE
ftse shall notify application memory realignment reintegration fcp going occur 1 second,NFR,PE
time management shall provide utility timer,NFR,PE
maximum timeout value shall 32768 microsecond 256 count least significant bit faulttolerant clock 128 microsecond,NFR,PE
processing data may carried simultaneously unit,NFR,PE
telemetry capability shall transfer telemetry block fcp ccnucc connected ctc,NFR,PE
qualification testing sweep time per axis shall 3 minute 141 arm overall,NFR,PE
asymmetric io call shall allowed induce large enough skew force fcs desynchronize,NFR,PE
npc sm shall default long initial concurrence window tunable parameter 9 business hour,NFR,PE
system initialization shall activity completed start 50 hz timer enable timer interrupt,NFR,PE
fcp watchdog timer shall remain active memory realignment,NFR,PE
ftp shall recover babbling n icp within 40 millisecond detected,NFR,PE
claus system shall respond request information within one minute,NFR,PE
npc sm shall provide tolerance communication link outage offer alternate routing outage,NFR,PE
9 megabyte dram allocation 4 megabyte ftssvxworks dram shall realigned realignment attempt,NFR,PE
fcp shall application initialization complete send fcp ready sync message icp,NFR,PE
system initialization shall enable reset processor watchdog timer absence fault watchdog timer expire reset processor,NFR,PE
npc sm shall default nonuser disconnect tunable parameter 60 minute,NFR,PE
apa system shall acquire esc telemetry data aspera3 experiment mar express orbit attitude,NFR,PE
recovery requirement includes time ftse software initiate recovery time recovery complete,NFR,PE
telemetry capability shall provide status data ftse fdi ccnucc rs422 link ctc,NFR,PE
maximum 1 bloc,NFR,PE
socket used synchronous message passing behave differently used immediate message,NFR,PE
fcp shall wait 25 second sending fcp ready sync icp ready signal,NFR,PE
redundancy management shall memory alignment configure n mask processor resynchronized,NFR,PE
memory scrubbing software shall capable scrubbing 10 megabyte 8 minute,NFR,PE
npc sm shall handle duplicate multiple input,NFR,PE
telemetry capability shall signal ccnucc transfer telemetry block ctc,NFR,PE
operating temperature range prototype n 0 322 c inlet cooling fan,NFR,PE
command read capability shall check presence command status message ctc ccnucc 10hz,NFR,PE
communication service shall provide synchronous message passing service form message queue,NFR,PE
dh user shall able set thermostat temperature 60 f 80 f inclusive one degree increment,NFR,PE
time management shall provide met,NFR,PE
flow control error control may provided,NFR,PE
surviving triplex shall attempt sync failed fcp,NFR,PE
ftse wait normal icp presence test fails,NFR,PE
npc sm shall default local sm activation log retention period tunable parameter 90 calendar day,NFR,PE
provided failed n recoverable state recovery failed n shall take longer 500 microsecond,NFR,PE
presence test shall also ascertain processor executing 50 hz 10 hz 1 hz frame,NFR,PE
scheduler shall place processing time bound rate group ensure rate group monopolizes fcc processor,NFR,PE
ftp system shall monitor presence new channel 1 hz periodic rate,NFR,PE
npc sm shall default long cancellation initial concurrence window tunable parameter 9 business hour,NFR,PE
failed fcp n shall masked within three minor frame fault detection isolation,NFR,PE
start shall synchronize fcp operational fcs,NFR,PE
npc sm shall default short cancellation initial concurrence window tunable parameter 9 business hour,NFR,PE
query killed take 1 min,NFR,PE
product shall take initial load time depending internet connection strength also depends medium product run,NFR,PE
claus system shall able automatically recover unexpected shutdown,NFR,PE
addition ftse software shall provide 600 bit startup data indicates state ftp system startup,NFR,PE
minimum session timeout value shall user definable able reset prior initialization user session,NFR,PE
set point power control start stop command time critical function also prompt response acknowledgeonreceive important,NFR,PE
claus system shall minimize time data dissemination,NFR,PE
start fcp watchdog timer shall active,NFR,PE
socket used synchronous message passing behave differently used immediate message passing,NFR,PE
npc sm shall default long business day duration tunable parameter 12 hour,NFR,PE
ftse software shall receive telemetry command cc via cpctc every medium frame,NFR,PE
first permanent fcp failure fair shall degrade redundancy level fcp 4 3,NFR,PE
flight n shall dissipate 35 watt,NFR,PE
every medium frame ftse software shall accept pointer telemetry program buffer space containing telemetry data,NFR,PE
flight n shall nonoperating application vibration ax,NFR,PE
npc sm shall support continuous hardware checking without performance penalty service degradation,NFR,PE
npc sm nh shall notify npc personnel immediately security event threshold exceeded snmp agent,NFR,PE
npc sm shall default short business day duration tunable parameter 12 hour,NFR,PE
security breach occurs contact sensor set open alarm system shall activated,NFR,PE
transfer data buffer shall carried without synchronism realtime,NFR,PE
fatigue shall allow user continue working transformation taking place,NFR,PE
storage ie nonoperating temperature range flight n shall 30 c 60 c,NFR,PE
upon usb plugged system shall able deployed operational less 1 minute,NFR,PE
system shall able change state power switch turn changing state appliance connected power switch,NFR,PE
9 megabyte dram allocation 4 megabyte ftssvxworks dram shall realigned realignment attempt,NFR,PE
time critical function must based fast reliable transmission number selected data type,NFR,PE
npc sm shall default sm retry interval tunable parameter 2 minute,NFR,PE
start shall able synchronize operational fcs presence skew power sequence,NFR,PE
insufficient space enqueue message transmission ftse shall return error corresponding task,NFR,PE
scheduler shall take longer 1 millisecond execute scheduler time service ftse overhead task rate group,NFR,PE
time n failure identified n recoverable time n recovered shall 15 minute,NFR,PE
npc sm shall default conflict expiration window tunable parameter 30 calendar day,NFR,PE
timestamp counter reach maximum value hex ffffffff approximately 5500 second shall wrap around zero,NFR,PE
claus system shall minimize time data acquisition,NFR,PE
following processor recovery time frozen ftse software shall account frozen time update sep proper value,NFR,PE
task within rate group shall executed order mission manager register task,NFR,PE
npc sm shall default system password aging 90 day,NFR,PE
operational alarm must transmitted immediately triggering,NFR,PE
error case support service shall attempt choose errorfree ccnucc path switching back forth channel necessary,NFR,PE
likewise possible switch current context without loosing perspective case system estimate context properly,NFR,PE
failed channel provided recoverable shall recovered less 15 minute,NFR,PE
averaged value accuracy start time period shall better 10 m,NFR,PE
met shall measure realtime event accuracy 50 part per million,NFR,PE
fcp processor synchronized system initialization surviving triplex shall attempt sync failed fcp,NFR,PE
communication service shall detect babbling n icp within 20 millisecond receipt first erroneous packet,NFR,PE
scheduler shall issue 50 hz interrupt icp skew greater 330 microsecond,NFR,PE
utility timer shall accuracy 50 ppm,NFR,PE
clear failure fair shall request vehicle mission manager cycle power fcr,NFR,PE
npc sm shall allow activation without old service provider concurrence final concurrence window timer expired,NFR,PE
process scheduling shall performed certain controlled location synchronization point,NFR,PE
tool shall offer best possible performance correctly process large collection io bound,NFR,PE
api call shall provided allows application notify ftse fcr intentionally powered,NFR,PE
new n observed functioning n return operational mode within 500 microsecond,NFR,PE
time critical function shall use short message high priority,NFR,PE
draper shall violate 100 microsecond requirement,NFR,PE
additionally shall possible start scanning selected binary value selectable duration,NFR,PE
ftse shall configure fcp continue processing power initial bit test fail,NFR,PE
sync procedure shall terminate 5 n synchronized four n synchronized four n powered timeout period,NFR,PE
updating counter shall select able interval 1 sec,NFR,PE
fair shall receive information two consecutive missed heartbeat conclude icp failed,NFR,PE
scheduler shall detect 50 hz 10 hz 1 hz rate group overrun,NFR,PE
thats fine click ok warning window displayed,NFR,PE
fair shall take 3 msec per minor frame processing fault,NFR,PE
transfer data buffer may carried offline without synchronism realtime,NFR,PE
time stamp must reported precision one second less,NFR,PE
npc sm shall default time interval restart login process 60 second,NFR,PE
soa npc sm interface npc sm local sm interface shall support detection message delay,NFR,PE
syndrome shall represent occurrence indicated error time delivery previous packet delivery current packet,NFR,PE
system must provide adequate response time commonly performed function standard peak condition,NFR,PE
transaction rate 2 chip transaction sustained per second shall supported soa npc sm interface association,NFR,PE
timestamps shall congruent across member destination fcp,NFR,PE
control flow four fcs shall similar identical,NFR,PE
n shall provide capability perform voted vme bus reset,NFR,PE
ftse shall mask babbling n icp within 40 millisecond detected,NFR,PE
noncongruent memory modified realignment,NFR,PE
intentional powering fcp icp n shall classified fault,NFR,PE
npc sm shall allow npc personnel soa npc sm interface activate subscription version,NFR,PE
alarm data shall sent wind turbine occurrence,NFR,PE
npc sm shall default conflict restriction window tunable parameter 12 noon,NFR,PE
system initialization shall synchronize fcp virtual group presence power skew 25 second,NFR,PE
response time loading product take longer five minute,NFR,PE
system shall able validate credit card less 2 second,NFR,PE
npc sm shall restart login process threshold r7331 exceeded specified interval time passed,NFR,PE
scheduler shall issue 50 hz interrupt icp mean venus irq5 interrupt,NFR,PE
transfer data buffer shall carried without synchronism realtime,NFR,PE
prior starting execution script file display screen standard error standard output shall cleared,NFR,PE
icppmc1553 bit case provided hardware state permit ftse shall log error report x38 telemetry stream,NFR,PE
pipe provide fast data throughput virtual group within virtual group minimal data latency necessary,NFR,PE
datawise mess age shall small shall transmitted minimum delay,NFR,PE
time management shall provide sep,NFR,PE
delay may occur due transmission error low capacity low bandwidth transport medium network fault,NFR,PE
npc sm shall responsible ensuring system clock accurate within two minute gmt,NFR,PE
bit shall executed 50 hz rate 50 hz flight critical operation complete,NFR,PE
memory alignment shall take 1 second per megabyte data realigned,NFR,PE
response time operational function therefore related communication need much faster one second human timescale,NFR,PE
although network internet communication obvious available,NFR,SE
enforce security requirement following functionality needed authentication data integrity data confidentiality,NFR,SE
information included every data transfer,NFR,SE
xml document attached email uk fishery administration er system must encrypted using pgp,NFR,SE
data may inaccessible eg fault process plant fault data transport fault data processing unit,NFR,SE
